champ,description_question,variable_reponse,description_reponse,,,,,,
Q13,Q13: Quelle est votre occupation principale?,2,Travailleur autonome,,,,,,
Q13,Q13: Quelle est votre occupation principale?,3,Entrepreneur,,,,,,
Q13,Q13: Quelle est votre occupation principale?,96,Autre (Veuillez préciser),,,,,,
Q14,Q14: Avez-vous actuellement plus d’un emploi?,1,Oui,,,,,,
Q14,Q14: Avez-vous actuellement plus d’un emploi?,2,Non,,,,,,
Q15r1,"Q15r1: Combien d’heures par semaine travaillez-vous en moyenne habituellement en tant que travailleur salarié, entrepreneur ou travailleur autonome?",,,,,,,,
Q16,"Q16: Votre emploi actuel (ou si vous en avez plus d’un, votre emploi principal) est-il permanent ou non permanent?",1,Permanent,,,,,,
Q16,"Q16: Votre emploi actuel (ou si vous en avez plus d’un, votre emploi principal) est-il permanent ou non permanent?",2,"Non permanent (exemple: emploi saisonnier, temporaire, d’une durée déterminée, occasionnel)",,,,,,
Q16,"Q16: Votre emploi actuel (ou si vous en avez plus d’un, votre emploi principal) est-il permanent ou non permanent?",8,Je ne sais pas,,,,,,
Q16,"Q16: Votre emploi actuel (ou si vous en avez plus d’un, votre emploi principal) est-il permanent ou non permanent?",9,Je préfère ne pas répondre,,,,,,
Q17r1,Q17r1: Des congés rémunérés - Votre emploi vous offre-t-il les conditions suivantes?,0,NO TO: Des congés rémunérés,,,,,,
Q17r1,Q17r1: Des congés rémunérés - Votre emploi vous offre-t-il les conditions suivantes?,1,Des congés rémunérés,,,,,,
Q17r2,Q17r2: Un regime de retraite - Votre emploi vous offre-t-il les conditions suivantes?,0,NO TO: Un regime de retraite,,,,,,
Q17r2,Q17r2: Un regime de retraite - Votre emploi vous offre-t-il les conditions suivantes?,1,Un regime de retraite,,,,,,
Q17r3,Q17r3: Une assurance collective - Votre emploi vous offre-t-il les conditions suivantes?,0,NO TO: Une assurance collective,,,,,,
Q17r3,Q17r3: Une assurance collective - Votre emploi vous offre-t-il les conditions suivantes?,1,Une assurance collective,,,,,,
Q17r4,Q17r4: L’appartenance à un syndicat - Votre emploi vous offre-t-il les conditions suivantes?,0,NO TO: L’appartenance à un syndicat,,,,,,
Q17r4,Q17r4: L’appartenance à un syndicat - Votre emploi vous offre-t-il les conditions suivantes?,1,L’appartenance à un syndicat,,,,,,
Q17r5,Q17r5: De bonnes conditions physiques et psychologiques - Votre emploi vous offre-t-il les conditions suivantes?,0,NO TO: De bonnes conditions physiques et psychologiques,,,,,,
Q17r5,Q17r5: De bonnes conditions physiques et psychologiques - Votre emploi vous offre-t-il les conditions suivantes?,1,De bonnes conditions physiques et psychologiques,,,,,,
Q17r6,Q17r6: Un bon équilibre entre le travail et la vie personnelle - Votre emploi vous offre-t-il les conditions suivantes?,0,NO TO: Un bon équilibre entre le travail et la vie personnelle,,,,,,
Q17r6,Q17r6: Un bon équilibre entre le travail et la vie personnelle - Votre emploi vous offre-t-il les conditions suivantes?,1,Un bon équilibre entre le travail et la vie personnelle,,,,,,
Q17r97,Q17r97: Aucune de ses conditions - Votre emploi vous offre-t-il les conditions suivantes?,0,NO TO: Aucune de ses conditions,,,,,,
Q17r97,Q17r97: Aucune de ses conditions - Votre emploi vous offre-t-il les conditions suivantes?,1,Aucune de ses conditions,,,,,,
Q17r98,Q17r98: Je ne sais pas - Votre emploi vous offre-t-il les conditions suivantes?,0,NO TO: Je ne sais pas,,,,,,
Q17r98,Q17r98: Je ne sais pas - Votre emploi vous offre-t-il les conditions suivantes?,1,Je ne sais pas,,,,,,
Q17r99,Q17r99: Je préfère ne pas répondre - Votre emploi vous offre-t-il les conditions suivantes?,0,NO TO: Je préfère ne pas répondre,,,,,,
Q17r99,Q17r99: Je préfère ne pas répondre - Votre emploi vous offre-t-il les conditions suivantes?,1,Je préfère ne pas répondre,,,,,,
Q18Ar1,"Q18Ar1: Un syndicat ou une association professionnelle? - Au cours des 12 derniers mois, avez-vous fait du bénévolat pour...",0,NO TO: Un syndicat ou une association professionnelle?,,,,,,
Q18Ar1,"Q18Ar1: Un syndicat ou une association professionnelle? - Au cours des 12 derniers mois, avez-vous fait du bénévolat pour...",1,Un syndicat ou une association professionnelle?,,,,,,
Q18Ar2,"Q18Ar2: Un organisme politique? - Au cours des 12 derniers mois, avez-vous fait du bénévolat pour...",0,NO TO: Un organisme politique?,,,,,,
Q18Ar2,"Q18Ar2: Un organisme politique? - Au cours des 12 derniers mois, avez-vous fait du bénévolat pour...",1,Un organisme politique?,,,,,,
Q18Ar3,"Q18Ar3: Un organisme sportif, récréatif, culturel, éducatif ou de loisirs (tel qu’une ligue de hockey, un club de santé, un club de golf, une troupe de théâtre, un cercle de lecture, etc.)? - Au cours des 12 derniers mois, avez-vous fait du bénévolat pour",0,"NO TO: Un organisme sportif, récréatif, culturel, éducatif ou de loisirs (tel qu’une ligue de hockey, un club de santé, un club de golf, une troupe de théâtre, un cercle de lecture, etc.)? ",,,,,,
Q18Ar3,"Q18Ar3: Un organisme sportif, récréatif, culturel, éducatif ou de loisirs (tel qu’une ligue de hockey, un club de santé, un club de golf, une troupe de théâtre, un cercle de lecture, etc.)? - Au cours des 12 derniers mois, avez-vous fait du bénévolat pour",1,"Un organisme sportif, récréatif, culturel, éducatif ou de loisirs (tel qu’une ligue de hockey, un club de santé, un club de golf, une troupe de théâtre, un cercle de lecture, etc.)? ",,,,,,
Q18Ar4,"Q18Ar4: Un groupe d’appartenance religieuse (tel que des groupes de jeunes associés à une église ou une chorale)? - Au cours des 12 derniers mois, avez-vous fait du bénévolat pour...",0,NO TO: Un groupe d’appartenance religieuse (tel que des groupes de jeunes associés à une église ou une chorale)?,,,,,,
Q18Ar4,"Q18Ar4: Un groupe d’appartenance religieuse (tel que des groupes de jeunes associés à une église ou une chorale)? - Au cours des 12 derniers mois, avez-vous fait du bénévolat pour...",1,Un groupe d’appartenance religieuse (tel que des groupes de jeunes associés à une église ou une chorale)?,,,,,,
Q18Ar5,"Q18Ar5: Une association de quartier, une table de concertation, une association de citoyens, un comité logement ou un groupe communautaire? - Au cours des 12 derniers mois, avez-vous fait du bénévolat pour...",0,"NO TO: Une association de quartier, une table de concertation, une association de citoyens, un comité logement ou un groupe communautaire?",,,,,,
Q18Ar5,"Q18Ar5: Une association de quartier, une table de concertation, une association de citoyens, un comité logement ou un groupe communautaire? - Au cours des 12 derniers mois, avez-vous fait du bénévolat pour...",1,"Une association de quartier, une table de concertation, une association de citoyens, un comité logement ou un groupe communautaire?",,,,,,
Q18Ar6,"Q18Ar6: Un club ou une association d’immigrants ou ethnique? - Au cours des 12 derniers mois, avez-vous fait du bénévolat pour...",0,NO TO: Un club ou une association d’immigrants ou ethnique?,,,,,,
Q18Ar6,"Q18Ar6: Un club ou une association d’immigrants ou ethnique? - Au cours des 12 derniers mois, avez-vous fait du bénévolat pour...",1,Un club ou une association d’immigrants ou ethnique?,,,,,,
Q18Ar96,"Q18Ar96: Un autre organisme?(PRÉCISER) - Au cours des 12 derniers mois, avez-vous fait du bénévolat pour...",0,NO TO: Un autre organisme?(PRÉCISER),,,,,,
Q18Ar96,"Q18Ar96: Un autre organisme?(PRÉCISER) - Au cours des 12 derniers mois, avez-vous fait du bénévolat pour...",1,Un autre organisme?(PRÉCISER),,,,,,
Q18Ar97,"Q18Ar97: Je n’ai fait aucun bénévolat dans les 12 derniers mois - Au cours des 12 derniers mois, avez-vous fait du bénévolat pour...",0,NO TO: Je n’ai fait aucun bénévolat dans les 12 derniers mois,,,,,,
Q18Ar97,"Q18Ar97: Je n’ai fait aucun bénévolat dans les 12 derniers mois - Au cours des 12 derniers mois, avez-vous fait du bénévolat pour...",1,Je n’ai fait aucun bénévolat dans les 12 derniers mois,,,,,,
Q18Ar98,"Q18Ar98: Je ne sais pas - Au cours des 12 derniers mois, avez-vous fait du bénévolat pour...",0,NO TO: Je ne sais pas,,,,,,
Q18Ar98,"Q18Ar98: Je ne sais pas - Au cours des 12 derniers mois, avez-vous fait du bénévolat pour...",1,Je ne sais pas,,,,,,
Q18Ar99,"Q18Ar99: Je préfère ne pas répondre - Au cours des 12 derniers mois, avez-vous fait du bénévolat pour...",0,NO TO: Je préfère ne pas répondre,,,,,,
Q18Ar99,"Q18Ar99: Je préfère ne pas répondre - Au cours des 12 derniers mois, avez-vous fait du bénévolat pour...",1,Je préfère ne pas répondre,,,,,,
Q18B,Q18B: Est-ce que faire du bénévolat vous a aidé à trouver du travail?,1,Oui,,,,,,
Q18B,Q18B: Est-ce que faire du bénévolat vous a aidé à trouver du travail?,2,Non,,,,,,
Q18B,Q18B: Est-ce que faire du bénévolat vous a aidé à trouver du travail?,8,Je ne sais pas,,,,,,
Q18B,Q18B: Est-ce que faire du bénévolat vous a aidé à trouver du travail?,9,Je préfère ne pas répondre,,,,,,
REVEN,"REVEN: Parmi les catégories suivantes, laquelle reflète le mieux le REVENU TOTAL avant impôt de tous les membres de votre foyer pour l’année 2018?",1,19 999 $ et moins,,,,,,
REVEN,"REVEN: Parmi les catégories suivantes, laquelle reflète le mieux le REVENU TOTAL avant impôt de tous les membres de votre foyer pour l’année 2018?",2,De 20 000 $ à 39 999 $,,,,,,
REVEN,"REVEN: Parmi les catégories suivantes, laquelle reflète le mieux le REVENU TOTAL avant impôt de tous les membres de votre foyer pour l’année 2018?",3,De 40 000 $ à 59 999 $,,,,,,
REVEN,"REVEN: Parmi les catégories suivantes, laquelle reflète le mieux le REVENU TOTAL avant impôt de tous les membres de votre foyer pour l’année 2018?",4,De 60 000 $ à 79 999 $,,,,,,
REVEN,"REVEN: Parmi les catégories suivantes, laquelle reflète le mieux le REVENU TOTAL avant impôt de tous les membres de votre foyer pour l’année 2018?",5,De 80 000 $ à 99 999 $,,,,,,
REVEN,"REVEN: Parmi les catégories suivantes, laquelle reflète le mieux le REVENU TOTAL avant impôt de tous les membres de votre foyer pour l’année 2018?",6,100 000 $ et plus,,,,,,
REVEN,"REVEN: Parmi les catégories suivantes, laquelle reflète le mieux le REVENU TOTAL avant impôt de tous les membres de votre foyer pour l’année 2018?",99,Je préfère ne pas répondre,,,,,,
REVEN2,"REVEN2: Parmi les catégories suivantes, laquelle reflète le mieux VOTRE REVENU avant impôt personnel?",1,19 999 $ et moins,,,,,,
REVEN2,"REVEN2: Parmi les catégories suivantes, laquelle reflète le mieux VOTRE REVENU avant impôt personnel?",2,De 20 000 $ à 39 999 $,,,,,,
REVEN2,"REVEN2: Parmi les catégories suivantes, laquelle reflète le mieux VOTRE REVENU avant impôt personnel?",3,De 40 000 $ à 59 999 $,,,,,,
REVEN2,"REVEN2: Parmi les catégories suivantes, laquelle reflète le mieux VOTRE REVENU avant impôt personnel?",4,De 60 000 $ à 79 999 $,,,,,,
REVEN2,"REVEN2: Parmi les catégories suivantes, laquelle reflète le mieux VOTRE REVENU avant impôt personnel?",5,De 80 000 $ à 99 999 $,,,,,,
REVEN2,"REVEN2: Parmi les catégories suivantes, laquelle reflète le mieux VOTRE REVENU avant impôt personnel?",6,100 000 $ et plus,,,,,,
REVEN2,"REVEN2: Parmi les catégories suivantes, laquelle reflète le mieux VOTRE REVENU avant impôt personnel?",99,Je préfère ne pas répondre,,,,,,
Q19,Q19: En quelle année avez-vous effectué du travail rémunéré pour la première fois à Montréal?,,,,,,,,
Q19_r0,noanswerQ19_r0: En quelle année avez-vous effectué du travail rémunéré pour la première fois à Montréal?: Je n’ai jamais travaillé à Montréal - No Answer,0,NO TO: En quelle année avez-vous effectué du travail rémunéré pour la première fois à Montréal?: Je n’ai jamais travaillé à Montréal - No Answer,,,,,,
Q19_r0,noanswerQ19_r0: En quelle année avez-vous effectué du travail rémunéré pour la première fois à Montréal?: Je n’ai jamais travaillé à Montréal - No Answer,1,En quelle année avez-vous effectué du travail rémunéré pour la première fois à Montréal?: Je n’ai jamais travaillé à Montréal - No Answer,,,,,,
Q20r1,Q20r1: Difficultés linguistiques - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre premier emploi à Montréal?,0,NO TO: Difficultés linguistiques,,,,,,
Q20r1,Q20r1: Difficultés linguistiques - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre premier emploi à Montréal?,1,Difficultés linguistiques,,,,,,
Q20r2,Q20r2: Manque d’information sur le marché de l’emploi - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre premier emploi à Montréal?,0,NO TO: Manque d’information sur le marché de l’emploi,,,,,,
Q20r2,Q20r2: Manque d’information sur le marché de l’emploi - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre premier emploi à Montréal?,1,Manque d’information sur le marché de l’emploi,,,,,,
Q20r3,Q20r3: Pas assez d’emplois disponibles - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre premier emploi à Montréal?,0,NO TO: Pas assez d’emplois disponibles,,,,,,
Q20r3,Q20r3: Pas assez d’emplois disponibles - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre premier emploi à Montréal?,1,Pas assez d’emplois disponibles,,,,,,
Q20r4,Q20r4: Difficultés liées aux transports - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre premier emploi à Montréal?,0,NO TO: Difficultés liées aux transports,,,,,,
Q20r4,Q20r4: Difficultés liées aux transports - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre premier emploi à Montréal?,1,Difficultés liées aux transports,,,,,,
Q20r5,"Q20r5: Compétences, expériences de travail ou qualifications obtenues à l'extérieur du Canada non reconnues - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre premier emploi à Montréal?",0,"NO TO: Compétences, expériences de travail ou qualifications obtenues à l'extérieur du Canada non reconnues",,,,,,
Q20r5,"Q20r5: Compétences, expériences de travail ou qualifications obtenues à l'extérieur du Canada non reconnues - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre premier emploi à Montréal?",1,"Compétences, expériences de travail ou qualifications obtenues à l'extérieur du Canada non reconnues",,,,,,
Q20r6,Q20r6: Exigence de la part d’un employeur d’une expérience au Canada ou au Québec - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre premier emploi à Montréal?,0,NO TO: Exigence de la part d’un employeur d’une expérience au Canada ou au Québec,,,,,,
Q20r6,Q20r6: Exigence de la part d’un employeur d’une expérience au Canada ou au Québec - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre premier emploi à Montréal?,1,Exigence de la part d’un employeur d’une expérience au Canada ou au Québec,,,,,,
Q20r7,Q20r7: Difficulté de concilier famille et travail - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre premier emploi à Montréal?,0,NO TO: Difficulté de concilier famille et travail,,,,,,
Q20r7,Q20r7: Difficulté de concilier famille et travail - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre premier emploi à Montréal?,1,Difficulté de concilier famille et travail,,,,,,
Q20r8,Q20r8: Pas assez de contacts (réseaux professionnels) sur le marché de l'emploi - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre premier emploi à Montréal?,0,NO TO: Pas assez de contacts (réseaux professionnels) sur le marché de l'emploi,,,,,,
Q20r8,Q20r8: Pas assez de contacts (réseaux professionnels) sur le marché de l'emploi - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre premier emploi à Montréal?,1,Pas assez de contacts (réseaux professionnels) sur le marché de l'emploi,,,,,,
Q20r9,Q20r9: Discrimination - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre premier emploi à Montréal?,0,NO TO: Discrimination,,,,,,
Q20r9,Q20r9: Discrimination - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre premier emploi à Montréal?,1,Discrimination,,,,,,
Q20r96,Q20r96: Autre (PRÉCISER) - Quel(s) problème(s) ou difficulté(s) avez-vous eus à trouver votre premier emploi à Montréal?,0,NO TO: Autre (PRÉCISER),,,,,,
